62.47	2	213
65.78	3	226
58.05	2	179
52.09	2	188
74.98	3	215
55.87	2	152
90.66	3	290
113.68	3	375
97.92	2	305
46.33	2	166
134.55	3	385
151.15	3	500
63.01	2	195
65.66	2	200
108.81	3	310
66.19	3	205
54.1	2	158
73.44	2	270
51.78	2	150
92.42	3	310
59.13	2	180
49.49	1	200
51.68	2	155
52.87	2	178
69.46	2	303
76.41	2	250
63.1	2	218
197.37	5	630
93.53	3	326
91.35	3	310
103.49	3	530
45.12	2	138
59.59	2	230
174.66	4	560
35.8	1	115
91.35	3	400
55.07	2	140
119.44	3	547
65.85	2	240
72.05	3	250
85.98	3	315
103.29	4	330
184.05	5	680
90.87	3	302
38.83	1	130
51.65	1	162
50.14	1	140
